,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17
1561,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA
1562,FreshGrocery,MobileKiosk,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1563,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,PhotoLab,Starbucks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1564,CVSpharmacy,Cafe,FreshGrocery,MobileKiosk,Optical,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA
1565,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA
1566,CVSpharmacy,Cafe,FreshGrocery,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1567,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,PhotoLab,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA,NA
1568,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,Optical,PhotoLab,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA
1569,CVSpharmacy,Cafe,FreshGrocery,MobileKiosk,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA
1570,CVSpharmacy,Cafe,FreshGrocery,MobileKiosk,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA
1571,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA
1572,CVSpharmacy,Cafe-Pizza,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1573,CVSpharmacy,FreshGrocery,MobileKiosk,Optical,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA
1574,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA
1575,CVSpharmacy,Cafe,FreshGrocery,MobileKiosk,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1576,CVSpharmacy,Cafe,FreshGrocery,MobileKiosk,Starbucks,Wine,Beer,&SpiritsAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA
1577,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,Starbucks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1578,CVSpharmacy,Cafe-Pizza,FreshGrocery,Starbucks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1579,CVSpharmacy,Cafe-Pizza,FreshGrocery,MobileKiosk,Starbucks,Wine&BeerAvailable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
